Tanggal,Emas,Dollar,Minyak Dunia,SNP 500
24/07/2020,"1.897,30","13.882,5","25,71",3155
27/07/2020,"1.931,00","13.882,5","25,15",3198
28/07/2020,"1.944,70","13.889,0","24,09",3227
29/07/2020,"1.953,50","13.925,0","24,51",3216
30/07/2020,"1.942,30","13.940,0","23,74",3225
31/07/2020,"1.962,80","13.875,0","28,05",3252
3/8/2020,"1.966,00","13.892,5","30,90",3257
4/8/2020,"2.001,20","13.850,0","29,98",3276
5/8/2020,"2.031,10","13.762,5","28,69",3236
6/8/2020,"2.051,50","13.668,0","30,17",3216
7/8/2020,"2.010,10","13.670,0","28,82",3239
10/8/2020,"2.024,40","13.665,0","29,26",3218
11/8/2020,"1.932,60","13.630,0","27,40",3258
12/8/2020,"1.934,90","13.637,5","26,04",3246
13/08/2020,"1.956,70","13.632,5","25,53",3271
14/08/2020,"1.937,00","13.657,5","25,03",3295
17/08/2020,"1.985,00","13.644,5","20,43",3307
18/08/2020,"1.999,40","13.630,0","11,57",3328
19/08/2020,"1.958,70","13.572,5","20,69",3349
20/08/2020,"1.933,80","13.605,0","21,44",3351
21/08/2020,"1.934,60","13.637,5","21,22",3360
24/08/2020,"1.927,70","13.627,5","18,08",3334
25/08/2020,"1.911,80","13.645,0","17,60",3380
26/08/2020,"1.940,70","13.655,0","19,12",3373
27/08/2020,"1.921,60","13.742,5","21,85",3373
28/08/2020,"1.964,60","13.710,0","22,29",3382
31/08/2020,"1.967,60","13.675,0","22,78",3390
1/9/2020,"1.968,20","13.620,0","26,49",3375
2/9/2020,"1.934,40","13.675,0","25,62",3386
3/9/2020,"1.927,60","13.695,0","24,83",3397
4/9/2020,"1.923,90","13.665,0","26,17",3431
8/9/2020,"1.933,00","13.660,0","25,08",3444
9/9/2020,"1.944,70","13.680,0","26,33",3479
10/9/2020,"1.954,20","13.675,0","25,68",3485
11/9/2020,"1.937,80","13.652,5","27,88",3508
14/09/2020,"1.953,10","13.665,0","29,52",3500
15/09/2020,"1.956,30","13.687,5","31,65",3527
16/09/2020,"1.960,20","13.707,5","31,96",3581
17/09/2020,"1.940,00","13.765,0","33,94",3455
18/09/2020,"1.952,10","13.870,0","34,34",3427
21/09/2020,"1.901,20","13.882,5","33,65",3332
22/09/2020,"1.898,60","13.932,5","32,90",3399
23/09/2020,"1.859,90","14.035,0","33,92",3339
24/09/2020,"1.868,30","14.347,5","34,77",3341
25/09/2020,"1.857,70","14.265,0","33,23",3384
28/09/2020,"1.872,80","14.281,5","34,06",3401
29/09/2020,"1.894,30","14.115,0","35,84",3385
30/09/2020,"1.887,50","14.170,0","35,79",3357
1/10/2020,"1.908,40","14.230,0","37,06",3319
2/10/2020,"1.900,20","14.392,5","37,59",3281
5/10/2020,"1.912,50","14.346,0","37,72",3316
6/10/2020,"1.901,10","14.352,5","39,80",3237
7/10/2020,"1.883,60","14.521,5","38,43",3247
8/10/2020,"1.888,60","14.770,0","39,16",3298
9/10/2020,"1.919,50","14.925,0","39,78",3352
12/10/2020,"1.922,50","15.170,0","36,57",3335
13/10/2020,"1.888,50","15.217,5","36,51",3363
14/10/2020,"1.901,30","15.912,5","37,43",3381
15/10/2020,"1.903,20","15.925,0","38,65",3348
16/10/2020,"1.900,80","16.575,0","38,21",3409
19/10/2020,"1.906,40","16.500,0","39,05",3361
20/10/2020,"1.910,40","16.305,0","39,83",3419
21/10/2020,"1.924,60","16.140,0","40,73",3447
22/10/2020,"1.901,10","16.337,5","40,51",3477
23/10/2020,"1.902,00","16.310,0","38,21",3534
26/10/2020,"1.902,70","16.450,0","38,91",3512
27/10/2020,"1.908,80","16.475,0","38,65",3489
28/10/2020,"1.876,20","16.425,0","39,81",3483
29/10/2020,"1.865,60","16.412,5","39,34",3484
30/10/2020,"1.877,40","16.175,0","39,92",3427
2/11/2020,"1.890,40","16.175,0","40,76",3443
3/11/2020,"1.908,50","15.820,0","40,28",3436
4/11/2020,"1.894,60","15.630,0","40,73",3453
5/11/2020,"1.945,30","15.630,0","40,70",3465
6/11/2020,"1.950,30","15.565,0","41,04",3401
9/11/2020,"1.853,20","15.640,0","39,83",3391
10/11/2020,"1.875,40","15.430,0","40,76",3271
11/11/2020,"1.860,70","15.412,5","40,32",3310
12/11/2020,"1.872,60","15.455,0","40,55",3270
13/11/2020,"1.885,70","15.450,0","41,40",3310
16/11/2020,"1.887,30","15.400,0","40,93",3369
17/11/2020,"1.884,50","15.400,0","40,75",3443
18/11/2020,"1.873,50","15.385,0","40,92",3510
19/11/2020,"1.861,10","15.422,5","41,92",3509
20/11/2020,"1.872,60","15.295,0","42,04",3551
23/11/2020,"1.837,80","14.875,0","41,21",3546
24/11/2020,"1.804,80","15.100,0","41,45",3573
25/11/2020,"1.805,70","15.080,0","41,80",3537
27/11/2020,"1.781,90","15.045,0","41,28",3585
30/11/2020,"1.775,70","14.920,0","41,54",3627
1/12/2020,"1.814,10","14.895,0","40,24",3610
2/12/2020,"1.825,70","14.905,0","40,57",3568
3/12/2020,"1.836,80","14.865,0","41,31",3582
4/12/2020,"1.835,90","14.885,0","41,91",3558
7/12/2020,"1.861,80","14.860,0","42,43",3578
8/12/2020,"1.870,80","14.850,0","42,20",3635
9/12/2020,"1.834,60","14.770,0","41,49",3630
10/12/2020,"1.833,60","14.710,0","42,17",3638
11/12/2020,"1.839,80","14.755,0","41,87",3622
14/12/2020,"1.828,70","14.710,0","42,95",3662
15/12/2020,"1.852,30","14.715,0","42,52",3669
16/12/2020,"1.856,10","14.610,0","42,31",3667
17/12/2020,"1.887,20","14.415,0","43,17",3699
18/12/2020,"1.885,70","14.095,0","43,12",3692
21/12/2020,"1.879,20","14.095,0","43,11",3702
22/12/2020,"1.866,60","13.870,0","42,82",3673
23/12/2020,"1.874,70","13.885,0","42,62",3668
24/12/2020,"1.879,90","13.890,0","42,93",3663
28/12/2020,"1.877,20","13.980,0","43,65",3647
29/12/2020,"1.879,70","14.015,0","43,69",3695
30/12/2020,"1.891,00","14.125,0","43,31",3701
31/12/2020,"1.893,10","14.115,0","43,29",3722
4/1/2021,"1.944,70","14.090,0","42,90",3709
5/1/2021,"1.952,70","14.082,5","43,08",3695
6/1/2021,"1.906,90","14.085,0","41,85",3687
7/1/2021,"1.912,30","14.100,0","41,72",3690
8/1/2021,"1.834,10","14.185,0","40,15",3703
11/1/2021,"1.849,60","14.160,0","38,75",3735
12/1/2021,"1.842,90","14.130,0","39,20",3727
13/01/2021,"1.853,60","14.175,0","37,19",3732
14/01/2021,"1.850,30","14.220,0","38,41",3756
15/01/2021,"1.829,30","14.245,0","37,66",3701
19/01/2021,"1.839,50","14.255,0","37,65",3727
20/01/2021,"1.865,90","14.265,0","37,56",3748
21/01/2021,"1.865,30","14.378,5","38,55",3804
22/01/2021,"1.855,70","14.510,0","40,41",3825
25/01/2021,"1.854,90","14.490,0","41,22",3800
26/01/2021,"1.850,70","14.440,0","41,32",3801
27/01/2021,"1.844,90","14.410,0","39,54",3810
28/01/2021,"1.837,90","14.395,0","39,80",3796
29/01/2021,"1.847,30","14.435,0","40,22",3768
1/2/2021,"1.860,80","14.425,0","40,58",3799
2/2/2021,"1.830,50","14.450,0","40,51",3852
3/2/2021,"1.832,20","14.587,5","40,87",3853
4/2/2021,"1.788,90","14.625,0","39,56",3841
5/2/2021,"1.810,90","14.695,0","40,47",3855
8/2/2021,"1.831,90","14.785,0","39,01",3850
9/2/2021,"1.835,30","14.738,5","37,34",3751
10/2/2021,"1.840,60","14.650,0","39,50",3787
11/2/2021,"1.824,90","14.580,0","40,93",3714
12/2/2021,"1.821,60","14.610,0","40,23",3774
16/02/2021,"1.797,20","14.520,0","41,47",3826
17/02/2021,"1.771,10","14.535,0","40,91",3830
18/02/2021,"1.773,40","14.535,0","39,73",3872
19/02/2021,"1.775,80","14.600,0","40,49",3887
22/02/2021,"1.806,70","14.630,0","41,34",3916
23/02/2021,"1.804,40","14.620,0","41,24",3911
24/02/2021,"1.796,40","14.550,0","41,12",3910
25/02/2021,"1.774,40","14.585,0","41,06",3916
26/02/2021,"1.728,10","14.580,0","41,70",3935
1/3/2021,"1.722,50","14.590,0","40,31",3933
2/3/2021,"1.733,10","14.620,0","40,94",3931
3/3/2021,"1.715,30","14.685,0","40,15",3914
4/3/2021,"1.700,20","14.700,0","38,89",3907
5/3/2021,"1.698,00","14.720,0","39,87",3877
8/3/2021,"1.677,70","14.830,0","37,72",3881
9/3/2021,"1.716,60","14.770,0","36,51",3925
10/3/2021,"1.721,50","14.670,0","36,15",3829
11/3/2021,"1.722,30","14.640,0","37,18",3811
12/3/2021,"1.719,50","14.670,0","37,99",3902
15/03/2021,"1.728,90","14.650,0","39,47",3870
16/03/2021,"1.730,60","14.615,0","39,11",3820
17/03/2021,"1.726,80","14.560,0","37,49",3768
18/03/2021,"1.732,20","14.565,0","40,62",3842
19/03/2021,"1.741,40","14.740,0","41,67",3821
22/03/2021,"1.737,80","14.760,0","41,74",3875
23/03/2021,"1.724,70","14.740,0","41,41",3899
24/03/2021,"1.732,90","14.730,0","40,40",3939
25/03/2021,"1.724,90","14.760,0","41,57",3943
26/03/2021,"1.732,20","14.780,0","41,65",3969
29/03/2021,"1.712,10","14.820,0","42,01",3963
30/03/2021,"1.683,90","14.860,0","41,90",3974
31/03/2021,"1.713,80","14.860,0","42,42",3915
1/4/2021,"1.726,50","14.835,0","43,28",3913
5/4/2021,"1.727,00","14.825,0","45,11",3941
6/4/2021,"1.741,50","14.820,0","45,91",3911
7/4/2021,"1.740,10","14.730,0","44,98",3889
8/4/2021,"1.756,80","14.690,0","45,74",3910
9/4/2021,"1.743,30","14.750,0","45,51",3975
12/4/2021,"1.731,20","14.780,0","44,73",3971
13/04/2021,"1.746,20","14.845,0","45,44",3959
14/04/2021,"1.734,90","14.845,0","45,79",3973
15/04/2021,"1.765,40","14.850,0","46,42",4020
16/04/2021,"1.779,00","14.845,0","45,95",4078
19/04/2021,"1.769,40","14.840,0","45,80",4074
20/04/2021,"1.777,30","14.820,0","45,72",4080
21/04/2021,"1.792,30","14.830,0","46,96",4097
22/04/2021,"1.781,20","14.790,0","46,75",4129
23/04/2021,"1.777,00","14.710,0","47,15",4128
26/04/2021,"1.779,20","14.690,0","47,78",4142
27/04/2021,"1.778,00","14.685,0","48,00",4125
28/04/2021,"1.773,20","14.675,0","48,54",4170
29/04/2021,"1.768,10","14.680,0","49,24",4185
30/04/2021,"1.767,30","14.680,0","47,97",4163
3/5/2021,"1.791,40","14.680,0","47,16",4135
4/5/2021,"1.775,80","14.660,0","48,24",4173
5/5/2021,"1.784,10","14.670,0","48,35",4135
6/5/2021,"1.815,50","14.670,0","47,77",4180
7/5/2021,"1.831,10","14.650,0","48,14",4188
10/5/2021,"1.837,50","14.610,0","48,50",4187
11/5/2021,"1.835,90","14.640,0","48,63",4183
12/5/2021,"1.822,60","14.650,0","47,76",4211
13/05/2021,"1.823,80","14.630,0","50,01",4181
14/05/2021,"1.837,90","14.620,0","50,69",4193
17/05/2021,"1.867,50","14.625,0","50,87",4165
18/05/2021,"1.867,80","14.570,0","52,26",4168
19/05/2021,"1.881,30","14.540,0","52,27",4202
20/05/2021,"1.881,80","14.370,0","53,24",4233
21/05/2021,"1.876,70","14.190,0","52,96",4188
24/05/2021,"1.884,60","14.050,0","53,62",4152
25/05/2021,"1.898,10","14.040,0","52,42",4063
26/05/2021,"1.901,30","14.070,0","52,20",4113
27/05/2021,"1.895,70","14.140,0","52,36",4174
28/05/2021,"1.902,50","14.150,0","52,98",4163
1/6/2021,"1.902,90","14.100,0","53,31",4128
2/6/2021,"1.907,50","14.030,0","53,05",4116
3/6/2021,"1.871,20","14.050,0","52,19",4159
4/6/2021,"1.889,80","14.140,0","52,67",4156
7/6/2021,"1.896,80","14.150,0","52,52",4197
8/6/2021,"1.892,20","14.130,0","52,73",4188
9/6/2021,"1.893,20","14.140,0","52,24",4196
10/6/2021,"1.894,20","14.130,0","52,08",4201
11/6/2021,"1.877,40","14.090,0","53,42",4204
14/06/2021,"1.864,00","14.070,0","54,62",4202
15/06/2021,"1.854,50","14.090,0","55,54",4208
16/06/2021,"1.859,50","14.100,0","56,07",4193
17/06/2021,"1.773,80","14.090,0","56,70",4230
18/06/2021,"1.767,90","14.100,0","57,83",4227
21/06/2021,"1.781,80","14.085,0","58,25",4227
22/06/2021,"1.776,30","14.080,0","58,57",4220
23/06/2021,"1.782,30","14.080,0","58,14",4239
24/06/2021,"1.775,60","14.090,0","59,38",4247
25/06/2021,"1.776,60","14.070,0","60,37",4255
28/06/2021,"1.779,60","14.070,0","60,09",4247
29/06/2021,"1.762,80","14.090,0","60,08",4224
30/06/2021,"1.770,80","14.090,0","61,16",4222
1/7/2021,"1.775,90","14.085,0","60,53",4166
2/7/2021,"1.782,60","14.080,0","59,26",4225
6/7/2021,"1.793,50","14.100,0","61,70",4246
7/7/2021,"1.801,50","14.145,0","61,43",4242
8/7/2021,"1.799,60","14.150,0","63,00",4266
9/7/2021,"1.810,00","14.140,0","63,22",4281
12/7/2021,"1.805,50","14.110,0","61,23",4291
13/07/2021,"1.809,40","14.040,0","60,42",4292
14/07/2021,"1.824,30","14.213,7","59,57",4298
15/07/2021,"1.828,40","13.885,0","61,10",4320
16/07/2021,"1.814,50","13.900,0","63,62",4352
19/07/2021,"1.808,70","13.880,0","65,92",4344
20/07/2021,"1.810,90","13.890,0","64,93",4358
21/07/2021,"1.802,90","13.980,0","63,99",4321
22/07/2021,"1.805,00","14.080,0","64,42",4370
23/07/2021,"1.801,40","14.120,0","66,00",4385
26/07/2021,"1.798,70","14.055,0","65,64",4369
27/07/2021,"1.799,50","14.050,0","65,44",4374
28/07/2021,"1.799,50","14.010,0","64,86",4360
29/07/2021,"1.831,20","14.060,0","64,63",4327
30/07/2021,"1.812,60","14.050,0","60,06",4258
2/8/2021,"1.818,10","14.020,0","61,44",4323
3/8/2021,"1.810,10","13.980,0","61,56",4359
4/8/2021,"1.810,50","14.020,0","57,78",4367
5/8/2021,"1.805,10","14.010,0","61,16",4412
6/8/2021,"1.760,00","14.040,0","58,57",4422
9/8/2021,"1.723,40","14.035,0","60,96",4401
10/8/2021,"1.728,80","14.050,0","61,53",4401
11/8/2021,"1.750,40","14.020,0","60,56",4419
12/8/2021,"1.749,00","14.010,0","59,18",4395
13/08/2021,"1.775,20","14.020,0","61,48",4387
16/08/2021,"1.786,90","14.000,0","58,68",4423
17/08/2021,"1.785,00","14.010,0","59,37",4403
18/08/2021,"1.781,60","14.020,0","59,81",4429
19/08/2021,"1.780,20","13.995,0","59,63",4437
20/08/2021,"1.781,00","13.990,0","59,35",4432
23/08/2021,"1.803,20","13.980,0","59,75",4437
24/08/2021,"1.805,60","13.970,0","60,24",4448
25/08/2021,"1.788,20","13.910,0","63,22",4461
26/08/2021,"1.792,20","13.920,0","63,51",4468
27/08/2021,"1.816,60","14.010,0","63,19",4480
30/08/2021,"1.809,00","14.010,0","63,43",4448
31/08/2021,"1.815,00","14.060,0","62,67",4400
1/9/2021,"1.813,10","14.110,0","61,27",4406
2/9/2021,"1.808,70","14.090,0","61,34",4442
3/9/2021,"1.830,90","14.080,0","62,02",4480
7/9/2021,"1.795,90","14.080,0","61,80",4486
8/9/2021,"1.790,70","14.240,0","62,80",4496
9/9/2021,"1.797,40","14.250,0","63,75",4470
10/9/2021,"1.789,60","14.300,0","64,88",4509
13/09/2021,"1.792,00","14.240,0","63,48",4529
14/09/2021,"1.804,70","14.260,0","64,41",4523
15/09/2021,"1.792,40","14.290,0","65,61",4524
16/09/2021,"1.754,60","14.350,0","65,59",4537
17/09/2021,"1.749,40","14.390,0","64,67",4535
20/09/2021,"1.761,80","14.395,0","64,88",4520
21/09/2021,"1.776,00","14.380,0","64,93",4514
22/09/2021,"1.776,70","14.395,0","65,30",4493
23/09/2021,"1.747,70","14.400,0","66,10",4459
24/09/2021,"1.749,70","14.425,0","63,84",4469
27/09/2021,"1.750,00","14.390,0","65,36",4443
28/09/2021,"1.735,80","14.400,0","66,28",4481
29/09/2021,"1.721,50","14.400,0","65,50",4474
30/09/2021,"1.755,30","14.390,0","63,35",4433
1/10/2021,"1.757,00","14.420,0","61,94",4358
4/10/2021,"1.766,20","14.420,0","63,36",4354
5/10/2021,"1.759,60","14.410,0","65,78",4396
6/10/2021,"1.760,50","14.440,0","65,79",4449
7/10/2021,"1.757,90","14.470,0","65,96",4455
8/10/2021,"1.756,30","14.520,0","66,60",4443
11/10/2021,"1.754,60","14.520,0","66,10",4353
12/10/2021,"1.758,30","14.510,0","66,59",4359
13/10/2021,"1.793,70","14.500,0","66,96",4308
14/10/2021,"1.796,70","14.490,0","67,52",4357
15/10/2021,"1.767,20","14.530,0","68,63",4300
18/10/2021,"1.764,80","14.560,0","68,60",4346
19/10/2021,"1.769,70","14.590,0","69,39",4364
20/10/2021,"1.784,10","14.600,0","69,04",4400
21/10/2021,"1.781,20","14.600,0","69,87",4391
22/10/2021,"1.795,50","14.600,0","69,79",4361
25/10/2021,"1.806,00","14.560,0","70,09",4351
26/10/2021,"1.792,70","14.545,0","70,60",4364
27/10/2021,"1.797,90","14.495,0","70,63",4438
28/10/2021,"1.801,60","14.525,0","71,86",4471
29/10/2021,"1.783,00","14.515,0","71,95",4486
1/11/2021,"1.795,10","14.520,0","70,78",4520
2/11/2021,"1.788,70","14.480,0","71,29",4536
3/11/2021,"1.763,60","14.480,0","73,12",4550
4/11/2021,"1.793,00","14.495,0","72,85",4545
5/11/2021,"1.816,40","14.445,0","72,36",4566
8/11/2021,"1.827,40","14.440,0","72,63",4575
9/11/2021,"1.830,20","14.445,0","73,33",4552
10/11/2021,"1.847,60","14.425,0","72,20",4596
11/11/2021,"1.863,20","14.430,0","72,31",4605
12/11/2021,"1.867,90","14.315,0","72,77",4614
15/11/2021,"1.866,10","14.280,0","74,33",4631
16/11/2021,"1.853,60","14.195,0","74,36",4661
17/11/2021,"1.869,70","14.195,0","75,14",4680
18/11/2021,"1.861,00","14.280,0","76,25",4698
19/11/2021,"1.851,20","14.270,0","72,58",4702
22/11/2021,"1.806,00","14.275,0","71,50",4685
23/11/2021,"1.783,50","14.370,0","72,22",4647
24/11/2021,"1.784,10","14.350,0","73,81",4649
26/11/2021,"1.785,30","14.350,0","73,44",4683
29/11/2021,"1.782,30","14.325,0","74,69",4683
30/11/2021,"1.773,60","14.285,0","72,64",4701
1/12/2021,"1.781,60","14.280,0","71,38",4689
2/12/2021,"1.760,70","14.275,0","71,56",4705
3/12/2021,"1.782,00","14.275,0","66,35",4698
6/12/2021,"1.777,50","14.280,0","67,20",4683
7/12/2021,"1.782,60","14.290,0","69,57",4691
8/12/2021,"1.783,40","14.260,0","71,14",4701
9/12/2021,"1.774,60","14.250,0","71,38",4595
10/12/2021,"1.782,90","14.250,0","71,34",4655
13/12/2021,"1.786,30","14.245,0","71,14",4567
14/12/2021,"1.770,40","14.188,0","71,79",4513
15/12/2021,"1.762,60","14.200,0","72,98",4577
16/12/2021,"1.796,60","14.220,0","73,23",4538
17/12/2021,"1.803,80","14.235,0","70,61",4592
20/12/2021,"1.793,70","14.350,0","70,03",4687
21/12/2021,"1.787,90","14.370,0","67,79",4701
22/12/2021,"1.801,60","14.425,0","68,74",4667
23/12/2021,"1.811,20","14.400,0","68,10",4712
27/12/2021,"1.808,10","14.430,0","66,30",4669
28/12/2021,"1.810,20","14.435,0","68,06",4634
29/12/2021,"1.805,10","14.420,0","69,02",4710
30/12/2021,"1.812,70","14.440,0","68,90",4669
31/12/2021,"1.827,50","14.480,0","68,21",4621
3/1/2022,"1.799,40","14.495,0","67,05",4568
4/1/2022,"1.814,00","14.500,0","66,34",4649
5/1/2022,"1.824,60","14.530,0","65,21",4697
6/1/2022,"1.788,70","14.476,0","63,50",4726
7/1/2022,"1.797,00","14.465,0","62,14",4791
10/1/2022,"1.798,40","14.480,0","65,34",4786
11/1/2022,"1.818,60","14.520,0","67,25",4793
12/1/2022,"1.827,20","14.525,0","68,06",4779
13/01/2022,"1.821,20","14.490,0","67,10",4766
14/01/2022,"1.816,50","14.462,0","68,48",4797
18/01/2022,"1.812,30","14.475,0","68,93",4794
19/01/2022,"1.843,10","14.480,0","68,26",4701
20/01/2022,"1.842,50","14.495,0","68,32",4696
21/01/2022,"1.831,80","14.515,0","69,73",4677
24/01/2022,"1.841,70","14.540,0","69,07",4670
25/01/2022,"1.852,70","14.480,0","68,75",4713
26/01/2022,"1.829,90","14.490,0","68,80",4726
27/01/2022,"1.793,30","14.480,0","68,13",4659
28/01/2022,"1.784,90","14.490,0","69,05",4663
31/01/2022,"1.795,00","14.485,0","67,92",4577
1/2/2022,"1.800,30","14.480,0","69,47",4533
2/2/2022,"1.809,20","14.460,0","70,19",4483
3/2/2022,"1.803,00","14.420,0","70,23",4398
4/2/2022,"1.806,60","14.340,0","72,33",4410
7/2/2022,"1.820,60","14.310,0","72,37",4356
8/2/2022,"1.826,60","14.340,0","71,82",4350
9/2/2022,"1.835,20","14.350,0","70,14",4327
10/2/2022,"1.836,20","14.360,0","70,49",4432
11/2/2022,"1.840,80","14.380,0","71,89",4516
14/02/2022,"1.868,00","14.380,0","72,95",4547
15/02/2022,"1.854,80","14.385,0","73,61",4589
16/02/2022,"1.870,20","14.370,0","75,08",4477
17/02/2022,"1.900,70","14.370,0","74,90",4501
18/02/2022,"1.898,60","14.400,0","74,50",4484
22/02/2022,"1.906,10","14.450,0","74,70",4522
23/02/2022,"1.909,20","14.410,0","75,58",4587
24/02/2022,"1.925,10","14.390,0","77,33",4504
25/02/2022,"1.886,50","14.395,0","78,57",4419
28/02/2022,"1.899,40","14.415,0","77,06",4402
1/3/2022,"1.942,40","14.415,0","77,96",4471
2/3/2022,"1.920,90","14.368,0","78,76",4475
3/3/2022,"1.934,40","14.265,0","79,92",4380
4/3/2022,"1.965,10","14.280,0","79,92",4349
7/3/2022,"1.993,90","14.270,0","79,82",4305
8/3/2022,"2.040,10","14.260,0","80,77",4226
9/3/2022,"1.985,90","14.220,0","81,73",4289
10/3/2022,"1.998,10","14.210,0","81,69",4385
11/3/2022,"1.982,70","14.250,0","82,44",4374
14/03/2022,"1.959,60","14.250,0","83,42",4306
15/03/2022,"1.928,50","14.200,0","81,36",4387
16/03/2022,"1.908,00","14.250,0","82,50",4363
17/03/2022,"1.942,10","14.245,0","82,61",4329
18/03/2022,"1.928,20","14.240,0","83,36",4201
21/03/2022,"1.928,60","14.250,0","81,48",4171
22/03/2022,"1.920,70","14.225,0","81,46",4278
23/03/2022,"1.936,60","14.240,0","81,78",4260
24/03/2022,"1.961,60","14.235,0","82,45",4204
25/03/2022,"1.953,80","14.240,0","82,44",4173
28/03/2022,"1.939,60","14.240,0","79,57",4262
29/03/2022,"1.912,00","14.255,0","77,70",4358
30/03/2022,"1.933,50","14.250,0","80,13",4412
31/03/2022,"1.949,20","14.270,0","80,74",4463
1/4/2022,"1.919,10","14.290,0","82,56",4461
4/4/2022,"1.929,20","14.310,0","80,06",4512
5/4/2022,"1.922,90","14.305,0","80,42",4456
6/4/2022,"1.918,40","14.265,0","79,69",4520
7/4/2022,"1.933,80","14.248,0","79,75",4543
8/4/2022,"1.941,60","14.250,0","79,74",4576
11/4/2022,"1.944,30","14.215,0","77,55",4632
12/4/2022,"1.972,10","14.220,0","78,41",4602
13/04/2022,"1.981,00","14.205,0","75,94",4530
14/04/2022,"1.970,90","14.215,0","76,12",4546
18/04/2022,"1.982,90","14.215,0","77,94",4583
19/04/2022,"1.955,70","14.115,0","77,81",4525
20/04/2022,"1.952,30","14.070,0","77,41",4481
21/04/2022,"1.944,90","14.105,0","67,84",4500
22/04/2022,"1.931,00","14.073,0","69,62",4488
25/04/2022,"1.893,20","14.120,0","65,85",4413
26/04/2022,"1.901,40","14.120,0","65,37",4397
27/04/2022,"1.885,90","14.155,0","66,27",4447
28/04/2022,"1.888,70","14.150,0","66,10",4393
29/04/2022,"1.909,30","14.170,0","69,30",4392
2/5/2022,"1.861,80","14.170,0","71,84",4462
3/5/2022,"1.868,80","14.165,0","72,18",4459
4/5/2022,"1.867,00","14.245,0","70,79",4394
5/5/2022,"1.874,00","14.250,0","71,48",4272
6/5/2022,"1.881,20","14.295,0","71,06",4296
9/5/2022,"1.857,10","14.335,0","70,52",4175
10/5/2022,"1.839,90","14.325,0","70,66",4184
11/5/2022,"1.852,60","14.255,0","72,15",4288
12/5/2022,"1.823,80","14.240,0","70,72",4132
13/05/2022,"1.807,40","14.250,0","68,61",4155
16/05/2022,"1.813,50","14.260,0","70,82",4175
17/05/2022,"1.818,20","14.233,0","72,33",4300
18/05/2022,"1.815,90","14.210,0","73,42",4147
19/05/2022,"1.841,20","14.220,0","75,18",4123
20/05/2022,"1.841,80","14.240,0","75,60",3991
23/05/2022,"1.847,80","14.225,0","76,18",4001
24/05/2022,"1.865,10","14.235,0","76,61",3935
25/05/2022,"1.846,20","14.245,0","74,88",3930
26/05/2022,"1.847,40","14.255,0","75,85",4024
27/05/2022,"1.851,30","14.255,0","76,74",4008
31/05/2022,"1.842,70","14.265,0","77,47",4089
1/6/2022,"1.843,30","14.300,0","78,88",3924
2/6/2022,"1.866,50","14.320,0","78,44",3901
3/6/2022,"1.845,40","14.320,0","77,70",3901
6/6/2022,"1.839,20","14.340,0","80,67",3974
7/6/2022,"1.847,50","14.375,0","82,02",3941
8/6/2022,"1.851,90","14.395,0","81,62",3979
9/6/2022,"1.848,80","14.435,0","83,30",4058
10/6/2022,"1.871,50","14.375,0","83,83",4158
13/06/2022,"1.828,00","14.355,0","83,69",4132
14/06/2022,"1.809,50","14.350,0","84,83",4101
15/06/2022,"1.815,30","14.370,0","85,80",4177
16/06/2022,"1.845,70","14.340,0","85,55",4109
17/06/2022,"1.835,60","14.330,0","84,14",4121
21/06/2022,"1.834,60","14.330,0","82,41",4161
22/06/2022,"1.834,30","14.340,0","84,37",4116
23/06/2022,"1.825,70","14.365,0","85,96",4018
24/06/2022,"1.826,50","14.375,0","85,29",3901
27/06/2022,"1.820,90","14.313,0","85,43",3750
28/06/2022,"1.817,50","14.285,0","86,49",3735
29/06/2022,"1.813,70","14.247,0","86,46",3790
30/06/2022,"1.804,10","14.220,0","86,69",3667
1/7/2022,"1.798,90","14.225,0","88,45",3675
5/7/2022,"1.761,80","14.225,0","90,33",3765
6/7/2022,"1.734,90","14.250,0","89,77",3760
7/7/2022,"1.737,90","14.265,0","87,90",3796
8/7/2022,"1.740,60","14.250,0","88,53",3912
11/7/2022,"1.730,00","14.264,0","88,56",3900
12/7/2022,"1.723,30","14.300,0","91,42",3822
13/07/2022,"1.734,20","14.355,0","93,50",3819
14/07/2022,"1.704,50","14.390,0","90,21",3785
15/07/2022,"1.702,40","14.355,0","91,83",3825
18/07/2022,"1.709,20","14.305,0","90,04",3831
19/07/2022,"1.710,00","14.300,0","90,21",3845
20/07/2022,"1.699,50","14.315,0","91,62",3903
21/07/2022,"1.712,70","14.290,0","92,65",3899
22/07/2022,"1.727,10","14.295,0","91,91",3854
25/07/2022,"1.719,00","14.315,0","90,69",3819
26/07/2022,"1.717,70","14.335,0","90,94",3802
27/07/2022,"1.719,10","14.360,0","89,89",3790
28/07/2022,"1.750,30","14.335,0","93,50",3863
29/07/2022,"1.762,90","14.335,0","100,21",3831
1/8/2022,"1.769,00","14.340,0","107,06",3937
2/8/2022,"1.771,10","14.350,0","104,61",3960
3/8/2022,"1.758,00","14.350,0","112,11",3999
4/8/2022,"1.788,50","14.385,0","115,80",3962
5/8/2022,"1.772,90","14.385,0","119,65",3967
8/8/2022,"1.786,80","14.380,0","105,05",3921
9/8/2022,"1.794,00","14.355,0","102,99",4024
10/8/2022,"1.795,60","14.375,0","106,30",4072
11/8/2022,"1.789,70","14.378,0","101,18",4130
